"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A03212g","glabrata","CAGL0A03212g","CAGL0","original","","N1.HOG0004211","OG0003973"
"CAGL0A03234g","glabrata","CAGL0A03234g","CAGL0","original","EFT2","N1.HOG0000886","OG0000653"
"CAGL0A03256g","glabrata","CAGL0A03256g","CAGL0","original","","N1.HOG0002479","OG0002239"
"CAGL0A03278g","glabrata","CAGL0A03278g","CAGL0","original","","N1.HOG0001240","OG0001001"
"CAGL0A03300g","glabrata","CAGL0A03300g","CAGL0","original","","N1.HOG0002263","OG0002023"
"CAGL0A03322g","glabrata","CAGL0A03322g","CAGL0","original","","N1.HOG0002098","OG0001858"
"CAGL0A03344g","glabrata","CAGL0A03344g","CAGL0","original","","N1.HOG0000597","OG0000377"
"CAGL0A03366g","glabrata","CAGL0A03366g","CAGL0","original","","N1.HOG0001218","OG0000979"
"CAGL0A03388g","glabrata","CAGL0A03388g","CAGL0","original","","N1.HOG0001265","OG0001024"
"CAGL0A03410g","glabrata","CAGL0A03410g","CAGL0","original","","N1.HOG0000543","OG0000327"
"CAGL0A03432g","glabrata","CAGL0A03432g","CAGL0","original","","N1.HOG0002382","OG0002142"
"CAGL0A03454g","glabrata","CAGL0A03454g","CAGL0","original","","N1.HOG0003290","OG0003050"
"CAGL0A03476g","glabrata","CAGL0A03476g","CAGL0","original","","N1.HOG0000078","OG0000041"
"CAGL0A03498g","glabrata","CAGL0A03498g","CAGL0","original","","N1.HOG0004818","OG0004586"
"CAGL0A03542g","glabrata","CAGL0A03542g","CAGL0","original","COX12","N1.HOG0002842","OG0002602"
"CAGL0A03564g","glabrata","CAGL0A03564g","CAGL0","original","","N1.HOG0004306","OG0004069"
"CAGL0A03586g","glabrata","CAGL0A03586g","CAGL0","original","","N1.HOG0004453","OG0004217"
"CAGL0A03608g","glabrata","CAGL0A03608g","CAGL0","original","","N1.HOG0005897","OG0005761"
"CAGL0A03630g","glabrata","CAGL0A03630g","CAGL0","original","","N1.HOG0002590","OG0002350"
"CAGL0A03652g","glabrata","CAGL0A03652g","CAGL0","original","","N1.HOG0002524","OG0002284"
"CAGL0A03674g","glabrata","CAGL0A03674g","CAGL0","original","","N1.HOG0001950","OG0001710"
"CAGL0A03696g","glabrata","CAGL0A03696g","CAGL0","original","","N1.HOG0000555","OG0000337"
"CAGL0A03718g","glabrata","CAGL0A03718g","CAGL0","original","","N1.HOG0003750","OG0003511"
"CAGL0A03740g","glabrata","CAGL0A03740g","CAGL0","original","","N1.HOG0000229","OG0000133"
"CAGL0A03784g","glabrata","CAGL0A03784g","CAGL0","original","","N1.HOG0000246","OG0000142"
"CAGL0A03806g","glabrata","CAGL0A03806g","CAGL0","original","","N1.HOG0001607","OG0001367"
"CAGL0A03828g","glabrata","CAGL0A03828g","CAGL0","original","","N1.HOG0002582","OG0002342"
"CAGL0A03872g","glabrata","CAGL0A03872g","CAGL0","original","","N1.HOG0001334","OG0001093"
"CAGL0A03883g","glabrata","CAGL0A03883g","CAGL0","original","","N1.HOG0005533","OG0005356"
"CAGL0A03905g","glabrata","CAGL0A03905g","CAGL0","original","","N1.HOG0004060","OG0003821"
"CAGL0A03927g","glabrata","CAGL0A03927g","CAGL0","original","","N1.HOG0002674","OG0002434"
"CAGL0A03949g","glabrata","CAGL0A03949g","CAGL0","original","","N1.HOG0003500","OG0003258"
