Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048238.1-70,59,195
CP048238.1-71,53,240
CP048238.1-72,22,742
CP048238.1-73,28,583
CP048238.1-74,0,1256
CP048238.1-75,5,1181
CP048239.1-0,7,1145
CP048239.1-1,0,1257
CP048239.1-2,10,1076
CP048239.1-3,57,214
CP048239.1-4,30,537
CP048239.1-5,50,267
CP048239.1-6,73,123
CP048239.1-7,8,1124
CP048239.1-8,43,342
CP048239.1-9,9,1098
CP048239.1-10,68,139
CP048239.1-11,12,1020
CP048239.1-12,20,798
CP048239.1-13,11,1047
CP048239.1-14,24,681
CP048239.1-15,63,170
CP048239.1-16,41,367
CP048239.1-17,99,56
CP048239.1-18,97,60
CP048239.1-19,35,453
CP048239.1-20,44,327
CP048239.1-21,24,682
CP048239.1-22,73,124
CP048239.1-23,188,7
CP048239.1-24,134,26
CP048239.1-25,50,268
CP048239.1-26,22,743
CP048239.1-27,88,73
CP048239.1-28,60,187
CP048239.1-29,53,241
CP048239.1-30,76,111
CP048239.1-31,58,201
CP048239.1-32,20,799
CP048239.1-33,39,398
CP048239.1-34,22,744
CP048239.1-35,31,521
CP048239.1-36,21,772
CP048239.1-37,5,1182
CP048239.1-38,35,454
CP048239.1-39,38,413
CP048239.1-40,55,227
CP048239.1-41,48,292
CP048239.1-42,29,560
CP048239.1-43,12,1021
CP048239.1-44,35,455
CP048239.1-45,18,840
CP048239.1-46,14,969
CP048239.1-47,7,1146
CP048239.1-48,16,912
CP048239.1-49,17,873
CP048239.1-50,11,1048
CP048239.1-51,11,1049
CP048239.1-52,1,1242
CP048239.1-53,14,970
CP048239.1-54,12,1022
CP048239.1-55,23,716
CP048239.1-56,8,1125
CP048239.1-57,5,1183
CP048239.1-58,7,1147
CP048239.1-59,25,654
CP048239.1-60,44,328
CP048239.1-61,38,414
CP048239.1-62,27,603
CP048239.1-63,4,1197
CP048239.1-64,23,717
CP048239.1-65,37,428
CP048239.1-66,17,874
CP048239.1-67,11,1050
CP048239.1-68,27,604
CP048239.1-69,8,1126
CP048239.1-70,18,841
CP048239.1-71,25,655
CP048239.1-72,44,329
CP048239.1-73,32,507
CP048239.1-74,15,941
CP048239.1-75,13,991
CP048239.1-76,20,800
CP048239.1-77,16,913
CP048239.1-78,16,914
CP048239.1-79,11,1051
CP048239.1-80,5,1184
CP048239.1-81,12,1023
CP048239.1-82,1,1243
CP048239.1-83,11,1052
CP048239.1-84,13,992
CP048239.1-85,2,1226
CP048239.1-86,41,368
CP048239.1-87,34,474
CP048239.1-88,22,745
CP048239.1-89,16,915
CP048239.1-90,23,718
CP048239.1-91,15,942
CP048239.1-92,9,1099
CP048239.1-93,17,875
CP048239.1-94,22,746
CP048239.1-95,35,456
CP048239.1-96,23,719
CP048239.1-97,4,1198
CP048239.1-98,13,993
CP048239.1-99,25,656
CP048239.1-100,23,720
CP048239.1-101,26,625
CP048239.1-102,30,538
CP048239.1-103,18,842
CP048239.1-104,10,1077
CP048239.1-105,20,801
CP048239.1-106,26,626
CP048239.1-107,5,1185
CP048239.1-108,4,1199
CP048239.1-109,9,1100
CP048239.1-110,18,843
CP048239.1-111,20,802
CP048239.1-112,28,584
CP048239.1-113,20,803
CP048239.1-114,24,683
CP048239.1-115,19,825
CP048239.1-116,22,747
CP048239.1-117,22,748
CP048239.1-118,34,475
CP048239.1-119,28,585
CP048239.1-120,10,1078
CP048239.1-121,9,1101
CP048239.1-122,1,1244
CP048240.1-0,1,1245
CP048240.1-1,2,1227
CP048240.1-2,38,415
CP048240.1-3,63,171
CP048240.1-4,24,684
CP048240.1-5,9,1102
CP048240.1-6,44,330
CP048240.1-7,48,293
CP048240.1-8,26,627
CP048240.1-9,23,721
CP048240.1-10,9,1103
CP048240.1-11,23,722
CP048240.1-12,28,586
CP048240.1-13,11,1053
CP048240.1-14,75,113
CP048240.1-15,41,369
CP048240.1-16,45,314
CP048240.1-17,39,399
CP048240.1-18,58,202
CP048240.1-19,76,112
CP048240.1-20,42,351
CP048240.1-21,35,457
CP048240.1-22,35,458
CP048240.1-23,45,315
CP048240.1-24,87,78
CP048240.1-25,153,18
CP048240.1-26,129,31
CP048240.1-27,159,13
CP048240.1-28,115,42
CP048240.1-29,112,44
CP048240.1-30,44,331
CP048240.1-31,50,269
CP048240.1-32,65,157
CP048240.1-33,41,370
CP048240.1-34,91,68
CP048240.1-35,8,1127
CP048240.1-36,26,628
CP048240.1-37,52,248
CP048240.1-38,45,316
CP048240.1-39,45,317
CP048240.1-40,87,79
CP048240.1-41,37,429
CP048240.1-42,39,400
CP048240.1-43,24,685
CP048240.1-44,30,539
CP048240.1-45,47,298
CP048240.1-46,29,561
CP048240.1-47,26,629
CP048240.1-48,52,249
CP048240.1-49,22,749
CP048240.1-50,35,459
CP048240.1-51,21,773
CP048240.1-52,29,562
CP048240.1-53,18,844
CP048240.1-54,9,1104
CP048240.1-55,10,1079
CP048240.1-56,57,215
CP048240.1-57,55,228
CP048240.1-58,35,460
CP048240.1-59,21,774
CP048240.1-60,24,686
CP048240.1-61,45,318
CP048240.1-62,12,1024
CP048240.1-63,18,845
CP048240.1-64,4,1200
CP048240.1-65,26,630
CP048240.1-66,13,994
CP048240.1-67,27,605
CP048240.1-68,12,1025
CP048240.1-69,24,687
CP048240.1-70,13,995
CP048240.1-71,29,563
CP048240.1-72,74,120
CP048240.1-73,50,270
CP048240.1-74,33,491
CP048240.1-75,15,943
CP048240.1-76,29,564
CP048240.1-77,47,299
CP048240.1-78,14,971
CP048240.1-79,8,1128
CP048240.1-80,12,1026
CP048240.1-81,16,916
CP048240.1-82,9,1105
