Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_C01221,GWK60_C01221,ORF,0
GWK60_C01243,GWK60_C01243,ORF,1
GWK60_C01265,GWK60_C01265,ORF,2
GWK60_C01287,GWK60_C01287,ORF,2
GWK60_C01309,GPX2,ORF,4
GWK60_C01331,GWK60_C01331,ORF,0
GWK60_C01353,GWK60_C01353,ORF,3
GWK60_C01375,GWK60_C01375,ORF,4
GWK60_C01397,GWK60_C01397,ORF,2
GWK60_C01419,GWK60_C01419,ORF,8
GWK60_C01441,GWK60_C01441,ORF,4
GWK60_C01463,GWK60_C01463,ORF,7
GWK60_C01485,GWK60_C01485,ORF,0
GWK60_C01507,MFA2,ORF,0
GWK60_C01529,GWK60_C01529,ORF,0
GWK60_C01551,GWK60_C01551,ORF,0
GWK60_C01573,GWK60_C01573,ORF,2
GWK60_C01595,GWK60_C01595,ORF,2
GWK60_C01617,GWK60_C01617,ORF,2
GWK60_C01639,GWK60_C01639,ORF,2
GWK60_C01661,GWK60_C01661,ORF,1
GWK60_C01683,GWK60_C01683,ORF,1
GWK60_C01705,GWK60_C01705,ORF,1
GWK60_C01727,GWK60_C01727,ORF,0
GWK60_C01749,GWK60_C01749,ORF,2
GWK60_C01771,GWK60_C01771,ORF,8
GWK60_C01793,SAH1,ORF,2
GWK60_C01815,UTR2,ORF,2
GWK60_C01837,GWK60_C01837,ORF,3
GWK60_C01859,GWK60_C01859,ORF,4
GWK60_C01881,GLN3,ORF,3
GWK60_C01903,KRE29,ORF,2
GWK60_C01925,PHM8,ORF,2
GWK60_C01947,ARB1,ORF,1
GWK60_C01969,GWK60_C01969,ORF,1
GWK60_C01991,GWK60_C01991,ORF,13
GWK60_C02013,GWK60_C02013,ORF,7
GWK60_C02035,GWK60_C02035,ORF,4
GWK60_C02057,GWK60_C02057,ORF,0
GWK60_C02079,GWK60_C02079,ORF,0
GWK60_C02101,GWK60_C02101,ORF,0
GWK60_C02123,GWK60_C02123,ORF,15
GWK60_C02145,GWK60_C02145,ORF,0
GWK60_C02167,GWK60_C02167,ORF,3
GWK60_C02189,GWK60_C02189,ORF,0
GWK60_C02211,GWK60_C02211,ORF,1
GWK60_C02233,GWK60_C02233,ORF,0
GWK60_C02255,GWK60_C02255,ORF,1
GWK60_C02277,GWK60_C02277,ORF,2
GWK60_C02299,GWK60_C02299,ORF,1
GWK60_C02321,GWK60_C02321,ORF,0
GWK60_C02343,GWK60_C02343,ORF,0
GWK60_C02365,GWK60_C02365,ORF,3
GWK60_C02387,GWK60_C02387,ORF,7
GWK60_C02409,GWK60_C02409,ORF,4
GWK60_C02431,GWK60_C02431,ORF,2
GWK60_C02453,GWK60_C02453,ORF,4
GWK60_C02475,GWK60_C02475,ORF,2
GWK60_C02497,GWK60_C02497,ORF,2
GWK60_C02519,GWK60_C02519,ORF,2
GWK60_C02541,GWK60_C02541,ORF,8
