Bin index,combined_parent_hits.T059p7,combined_parent_hits.T059p7 rank
CP048241.1-93,19,372
CP048241.1-94,21,320
CP048241.1-95,11,685
CP048241.1-96,1,1205
CP048241.1-97,5,1006
CP048241.1-98,32,160
CP048241.1-99,12,630
CP048241.1-100,11,686
CP048241.1-101,3,1118
CP048241.1-102,19,373
CP048241.1-103,21,321
CP048241.1-104,2,1164
CP048241.1-105,2,1165
CP048241.1-106,10,743
CP048241.1-107,4,1063
CP048241.1-108,17,432
CP048241.1-109,11,687
CP048241.1-110,20,340
CP048241.1-111,5,1007
CP048241.1-112,4,1064
CP048241.1-113,2,1166
CP048241.1-114,5,1008
CP048241.1-115,15,504
CP048241.1-116,19,374
CP048241.1-117,23,289
CP048241.1-118,11,688
