Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048241.1-45,5,498
CP048241.1-46,5,499
CP048241.1-47,7,341
CP048241.1-48,1,1051
CP048241.1-49,5,500
CP048241.1-50,4,601
CP048241.1-51,1,1052
CP048241.1-52,3,729
CP048241.1-53,0,1212
CP048241.1-54,3,730
CP048241.1-55,3,731
CP048241.1-56,5,501
CP048241.1-57,7,342
CP048241.1-58,4,602
CP048241.1-59,1,1053
CP048241.1-60,2,893
CP048241.1-61,3,732
CP048241.1-62,3,733
CP048241.1-63,1,1054
CP048241.1-64,6,406
CP048241.1-65,2,894
CP048241.1-66,6,407
CP048241.1-67,1,1055
CP048241.1-68,3,734
CP048241.1-69,10,194
CP048241.1-70,2,895
CP048241.1-71,1,1056
CP048241.1-72,2,896
CP048241.1-73,1,1057
CP048241.1-74,4,603
CP048241.1-75,1,1058
CP048241.1-76,2,897
CP048241.1-77,2,898
CP048241.1-78,5,502
CP048241.1-79,9,236
CP048241.1-80,0,1213
CP048241.1-81,4,604
CP048241.1-82,2,899
CP048241.1-83,7,343
CP048241.1-84,5,503
CP048241.1-85,9,237
CP048241.1-86,0,1214
CP048241.1-87,6,408
CP048241.1-88,3,735
CP048241.1-89,2,900
CP048241.1-90,2,901
CP048241.1-91,11,164
CP048241.1-92,12,142
CP048241.1-93,10,195
CP048241.1-94,8,284
CP048241.1-95,4,605
CP048241.1-96,1,1059
CP048241.1-97,0,1215
CP048241.1-98,14,100
CP048241.1-99,6,409
CP048241.1-100,4,606
CP048241.1-101,0,1216
CP048241.1-102,3,736
CP048241.1-103,11,165
CP048241.1-104,0,1217
CP048241.1-105,1,1060
CP048241.1-106,3,737
CP048241.1-107,1,1061
CP048241.1-108,7,344
CP048241.1-109,4,607
CP048241.1-110,9,238
CP048241.1-111,2,902
CP048241.1-112,1,1062
CP048241.1-113,2,903
CP048241.1-114,2,904
CP048241.1-115,3,738
CP048241.1-116,4,608
CP048241.1-117,8,285
CP048241.1-118,6,410
CP048241.1-119,4,609
CP048241.1-120,6,411
CP048241.1-121,1,1063
CP048241.1-122,0,1218
CP048241.1-123,10,196
CP048241.1-124,5,504
CP048241.1-125,11,166
CP048241.1-126,11,167
CP048241.1-127,8,286
CP048241.1-128,6,412
CP048241.1-129,2,905
CP048241.1-130,2,906
CP048241.1-131,2,907
CP048241.1-132,7,345
CP048241.1-133,7,346
CP048241.1-134,8,287
CP048241.1-135,19,56
