Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048239.1-30,13,124
CP048239.1-31,7,332
CP048239.1-32,3,714
CP048239.1-33,6,398
CP048239.1-34,7,333
CP048239.1-35,2,860
CP048239.1-36,4,600
CP048239.1-37,0,1191
CP048239.1-38,6,399
CP048239.1-39,4,601
CP048239.1-40,11,174
CP048239.1-41,8,278
CP048239.1-42,6,400
CP048239.1-43,2,861
CP048239.1-44,3,715
CP048239.1-45,0,1192
CP048239.1-46,1,1024
CP048239.1-47,0,1193
CP048239.1-48,1,1025
CP048239.1-49,1,1026
CP048239.1-50,2,862
CP048239.1-51,2,863
CP048239.1-52,0,1194
CP048239.1-53,0,1195
CP048239.1-54,5,495
CP048239.1-55,3,716
CP048239.1-56,2,864
CP048239.1-57,1,1027
CP048239.1-58,1,1028
CP048239.1-59,6,401
CP048239.1-60,3,717
CP048239.1-61,5,496
CP048239.1-62,4,602
CP048239.1-63,0,1196
CP048239.1-64,3,718
CP048239.1-65,8,279
CP048239.1-66,1,1029
CP048239.1-67,1,1030
CP048239.1-68,2,865
CP048239.1-69,1,1031
CP048239.1-70,2,866
CP048239.1-71,4,603
CP048239.1-72,6,402
CP048239.1-73,6,403
CP048239.1-74,1,1032
CP048239.1-75,0,1197
CP048239.1-76,7,334
CP048239.1-77,4,604
CP048239.1-78,2,867
CP048239.1-79,1,1033
CP048239.1-80,2,868
CP048239.1-81,0,1198
CP048239.1-82,2,869
CP048239.1-83,0,1199
CP048239.1-84,4,605
CP048239.1-85,0,1200
CP048239.1-86,1,1034
CP048239.1-87,5,497
CP048239.1-88,3,719
CP048239.1-89,2,870
CP048239.1-90,3,720
CP048239.1-91,2,871
CP048239.1-92,0,1201
CP048239.1-93,1,1035
CP048239.1-94,3,721
CP048239.1-95,6,404
CP048239.1-96,5,498
CP048239.1-97,1,1036
CP048239.1-98,4,606
CP048239.1-99,4,607
CP048239.1-100,2,872
CP048239.1-101,9,234
CP048239.1-102,3,722
CP048239.1-103,3,723
CP048239.1-104,1,1037
CP048239.1-105,4,608
CP048239.1-106,0,1202
CP048239.1-107,0,1203
CP048239.1-108,1,1038
CP048239.1-109,0,1204
CP048239.1-110,3,724
CP048239.1-111,3,725
CP048239.1-112,6,405
CP048239.1-113,4,609
CP048239.1-114,1,1039
CP048239.1-115,1,1040
CP048239.1-116,2,873
CP048239.1-117,5,499
CP048239.1-118,6,406
CP048239.1-119,4,610
CP048239.1-120,2,874
CP048239.1-121,1,1041
CP048239.1-122,0,1205
CP048239.1-123,0,1206
CP048239.1-124,1,1042
CP048240.1-0,0,1207
CP048240.1-1,0,1208
CP048240.1-2,3,726
CP048240.1-3,14,104
CP048240.1-4,6,407
CP048240.1-5,1,1043
CP048240.1-6,4,611
CP048240.1-7,12,144
CP048240.1-8,2,875
CP048240.1-9,6,408
CP048240.1-10,2,876
CP048240.1-11,3,727
CP048240.1-12,1,1044
CP048240.1-13,3,728
CP048240.1-14,14,105
CP048240.1-15,3,729
CP048240.1-16,3,730
CP048240.1-17,5,500
CP048240.1-18,11,175
CP048240.1-19,15,85
CP048240.1-20,4,612
CP048240.1-21,8,280
CP048240.1-22,7,335
CP048240.1-23,4,613
CP048240.1-24,15,86
CP048240.1-25,33,12
CP048240.1-26,19,58
CP048240.1-27,32,19
CP048240.1-28,10,205
CP048240.1-29,22,38
CP048240.1-30,10,206
CP048240.1-31,8,281
CP048240.1-32,15,87
CP048240.1-33,3,731
CP048240.1-34,10,207
CP048240.1-35,2,877
CP048240.1-36,1,1045
CP048240.1-37,6,409
CP048240.1-38,8,282
CP048240.1-39,6,410
CP048240.1-40,12,145
CP048240.1-41,6,411
CP048240.1-42,6,412
CP048240.1-43,3,732
CP048240.1-44,4,614
CP048240.1-45,6,413
CP048240.1-46,3,733
CP048240.1-47,2,878
CP048240.1-48,2,879
CP048240.1-49,2,880
CP048240.1-50,3,734
CP048240.1-51,2,881
CP048240.1-52,2,882
CP048240.1-53,2,883
CP048240.1-54,2,884
CP048240.1-55,1,1046
CP048240.1-56,15,88
CP048240.1-57,9,235
CP048240.1-58,9,236
CP048240.1-59,4,615
CP048240.1-60,6,414
CP048240.1-61,6,415
CP048240.1-62,0,1209
CP048240.1-63,3,735
CP048240.1-64,0,1210
CP048240.1-65,4,616
CP048240.1-66,0,1211
CP048240.1-67,5,501
CP048240.1-68,2,885
CP048240.1-69,1,1047
CP048240.1-70,2,886
CP048240.1-71,4,617
CP048240.1-72,7,336
CP048240.1-73,6,416
CP048240.1-74,4,618
CP048240.1-75,1,1048
CP048240.1-76,2,887
CP048240.1-77,9,237
CP048240.1-78,1,1049
CP048240.1-79,1,1050
CP048240.1-80,1,1051
CP048240.1-81,1,1052
CP048240.1-82,3,736
CP048240.1-83,0,1212
CP048240.1-84,0,1213
CP048240.1-85,1,1053
CP048240.1-86,7,337
CP048240.1-87,9,238
CP048240.1-88,11,176
CP048240.1-89,4,619
CP048240.1-90,0,1214
CP048240.1-91,1,1054
CP048240.1-92,0,1215
CP048240.1-93,11,177
CP048240.1-94,1,1055
CP048240.1-95,0,1216
CP048240.1-96,2,888
CP048240.1-97,3,737
CP048240.1-98,4,620
CP048240.1-99,3,738
CP048240.1-100,2,889
CP048240.1-101,2,890
CP048240.1-102,0,1217
CP048240.1-103,3,739
CP048240.1-104,6,417
CP048240.1-105,4,621
CP048240.1-106,7,338
CP048240.1-107,6,418
CP048240.1-108,1,1056
CP048240.1-109,1,1057
CP048240.1-110,1,1058
CP048240.1-111,5,502
CP048240.1-112,6,419
CP048240.1-113,1,1059
CP048240.1-114,2,891
CP048240.1-115,4,622
CP048240.1-116,3,740
CP048240.1-117,7,339
CP048240.1-118,2,892
CP048240.1-119,4,623
CP048240.1-120,8,283
CP048240.1-121,0,1218
CP048240.1-122,1,1060
CP048240.1-123,3,741
CP048240.1-124,1,1061
CP048240.1-125,3,742
CP048240.1-126,12,146
CP048240.1-127,5,503
CP048240.1-128,1,1062
CP048240.1-129,5,504
CP048241.1-0,0,1219
CP048241.1-1,0,1220
CP048241.1-2,12,147
CP048241.1-3,1,1063
CP048241.1-4,3,743
CP048241.1-5,8,284
CP048241.1-6,1,1064
CP048241.1-7,4,624
CP048241.1-8,1,1065
CP048241.1-9,2,893
CP048241.1-10,6,420
CP048241.1-11,10,208
CP048241.1-12,1,1066
CP048241.1-13,2,894
CP048241.1-14,3,744
CP048241.1-15,6,421
CP048241.1-16,3,745
CP048241.1-17,2,895
CP048241.1-18,13,125
CP048241.1-19,1,1067
CP048241.1-20,0,1221
CP048241.1-21,0,1222
CP048241.1-22,10,209
CP048241.1-23,0,1223
CP048241.1-24,2,896
CP048241.1-25,0,1224
CP048241.1-26,1,1068
CP048241.1-27,1,1069
CP048241.1-28,2,897
CP048241.1-29,3,746
CP048241.1-30,2,898
CP048241.1-31,1,1070
CP048241.1-32,1,1071
CP048241.1-33,2,899
CP048241.1-34,2,900
CP048241.1-35,6,422
CP048241.1-36,4,625
CP048241.1-37,4,626
CP048241.1-38,5,505
CP048241.1-39,2,901
CP048241.1-40,5,506
CP048241.1-41,1,1072
CP048241.1-42,2,902
CP048241.1-43,1,1073
CP048241.1-44,7,340
CP048241.1-45,7,341
CP048241.1-46,4,627
CP048241.1-47,3,747
CP048241.1-48,4,628
CP048241.1-49,13,126
CP048241.1-50,3,748
CP048241.1-51,4,629
CP048241.1-52,3,749
CP048241.1-53,0,1225
CP048241.1-54,1,1074
CP048241.1-55,3,750
CP048241.1-56,1,1075
CP048241.1-57,5,507
CP048241.1-58,5,508
CP048241.1-59,1,1076
CP048241.1-60,1,1077
CP048241.1-61,4,630
CP048241.1-62,2,903
CP048241.1-63,4,631
CP048241.1-64,5,509
CP048241.1-65,4,632
CP048241.1-66,4,633
CP048241.1-67,3,751
CP048241.1-68,12,148
CP048241.1-69,14,106
CP048241.1-70,2,904
CP048241.1-71,0,1226
CP048241.1-72,3,752
CP048241.1-73,4,634
CP048241.1-74,4,635
CP048241.1-75,4,636
CP048241.1-76,2,905
CP048241.1-77,2,906
CP048241.1-78,8,285
CP048241.1-79,7,342
CP048241.1-80,0,1227
CP048241.1-81,5,510
CP048241.1-82,1,1078
CP048241.1-83,4,637
CP048241.1-84,9,239
CP048241.1-85,5,511
CP048241.1-86,2,907
CP048241.1-87,3,753
CP048241.1-88,2,908
CP048241.1-89,11,178
CP048241.1-90,4,638
CP048241.1-91,10,210
CP048241.1-92,18,63
CP048241.1-93,7,343
CP048241.1-94,8,286
CP048241.1-95,5,512
CP048241.1-96,1,1079
CP048241.1-97,2,909
CP048241.1-98,8,287
CP048241.1-99,3,754
CP048241.1-100,1,1080
CP048241.1-101,1,1081
CP048241.1-102,6,423
CP048241.1-103,6,424
CP048241.1-104,0,1228
CP048241.1-105,1,1082
CP048241.1-106,0,1229
CP048241.1-107,3,755
CP048241.1-108,4,639
CP048241.1-109,2,910
CP048241.1-110,4,640
CP048241.1-111,0,1230
CP048241.1-112,1,1083
CP048241.1-113,1,1084
CP048241.1-114,2,911
CP048241.1-115,6,425
CP048241.1-116,8,288
CP048241.1-117,8,289
CP048241.1-118,2,912
CP048241.1-119,6,426
CP048241.1-120,5,513
CP048241.1-121,1,1085
CP048241.1-122,0,1231
CP048241.1-123,10,211
