Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048238.1-27,143,118
CP048238.1-28,83,356
CP048238.1-29,149,105
CP048238.1-30,18,1102
CP048238.1-31,143,119
CP048238.1-32,101,247
CP048238.1-33,102,240
CP048238.1-34,41,788
CP048238.1-35,190,58
CP048238.1-36,126,159
CP048238.1-37,104,233
CP048238.1-38,94,286
CP048238.1-39,320,11
CP048238.1-40,236,33
CP048238.1-41,55,601
CP048238.1-42,60,546
CP048238.1-43,117,183
CP048238.1-44,365,7
CP048238.1-45,129,150
CP048238.1-46,37,833
CP048238.1-47,86,338
CP048238.1-48,115,190
CP048238.1-49,57,578
CP048238.1-50,50,661
CP048238.1-51,85,348
CP048238.1-52,37,834
CP048238.1-53,101,248
CP048238.1-54,107,219
CP048238.1-55,99,258
CP048238.1-56,65,494
CP048238.1-57,105,228
CP048238.1-58,0,1259
CP048238.1-59,37,835
CP048238.1-60,99,259
CP048238.1-61,2,1232
CP048238.1-62,25,1007
CP048238.1-63,7,1203
CP048238.1-64,21,1061
CP048238.1-65,6,1211
CP048238.1-66,37,836
CP048238.1-67,64,500
CP048238.1-68,134,139
CP048238.1-69,27,975
CP048238.1-70,133,141
CP048238.1-71,117,184
CP048238.1-72,52,640
CP048238.1-73,48,687
CP048238.1-74,0,1260
CP048238.1-75,1,1244
CP048239.1-0,3,1225
CP048239.1-1,0,1261
CP048239.1-2,25,1008
CP048239.1-3,126,160
CP048239.1-4,51,650
CP048239.1-5,121,172
CP048239.1-6,118,179
CP048239.1-7,16,1126
CP048239.1-8,70,458
CP048239.1-9,16,1127
CP048239.1-10,106,223
CP048239.1-11,23,1030
CP048239.1-12,48,688
CP048239.1-13,31,919
CP048239.1-14,48,689
CP048239.1-15,125,162
CP048239.1-16,100,253
CP048239.1-17,209,45
CP048239.1-18,160,86
CP048239.1-19,61,534
CP048239.1-20,89,320
CP048239.1-21,62,519
CP048239.1-22,153,102
CP048239.1-23,375,6
CP048239.1-24,258,28
CP048239.1-25,96,277
CP048239.1-26,62,520
CP048239.1-27,206,46
CP048239.1-28,155,92
CP048239.1-29,111,200
CP048239.1-30,127,155
CP048239.1-31,106,224
CP048239.1-32,28,958
CP048239.1-33,100,254
CP048239.1-34,46,716
CP048239.1-35,60,547
CP048239.1-36,49,672
CP048239.1-37,15,1134
CP048239.1-38,68,467
CP048239.1-39,64,501
CP048239.1-40,88,324
CP048239.1-41,90,314
CP048239.1-42,72,442
CP048239.1-43,25,1009
CP048239.1-44,55,602
CP048239.1-45,25,1010
CP048239.1-46,22,1045
CP048239.1-47,13,1153
CP048239.1-48,35,864
CP048239.1-49,38,822
CP048239.1-50,27,976
