feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00451,yH299-parent-pool3,parent,yH299,3,16,2117,7557.8649031648565
GWK60_A00451,yH299-parent-pool4,parent,yH299,4,11,1572,6997.455470737914
GWK60_A00473,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00473,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00473,yH298-parent-pool1,parent,yH298,1,2,2000,1000
GWK60_A00473,yH298-parent-pool2,parent,yH298,2,1,2013,496.7709885742673
GWK60_A00473,yH299-H2O2-treated-facs-pool3,treated,yH299,3,2,2012,994.0357852882703
GWK60_A00473,yH299-H2O2-treated-facs-pool4,treated,yH299,4,2,2244,891.2655971479501
GWK60_A00473,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00473,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00495,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00495,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00495,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00495,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00495,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00495,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00495,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00495,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00517,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00517,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00517,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00517,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00517,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00517,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00517,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00517,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00539,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00539,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00539,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00539,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00539,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00539,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00539,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00539,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00583,yH298-H2O2-treated-facs-pool1,treated,yH298,1,3,1828,1641.1378555798688
GWK60_A00583,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00583,yH298-parent-pool1,parent,yH298,1,3,2000,1500
GWK60_A00583,yH298-parent-pool2,parent,yH298,2,2,2013,993.5419771485346
GWK60_A00583,yH299-H2O2-treated-facs-pool3,treated,yH299,3,5,2012,2485.089463220676
GWK60_A00583,yH299-H2O2-treated-facs-pool4,treated,yH299,4,7,2244,3119.4295900178254
GWK60_A00583,yH299-parent-pool3,parent,yH299,3,1,2117,472.36655644780353
GWK60_A00583,yH299-parent-pool4,parent,yH299,4,2,1572,1272.2646310432572
GWK60_A00605,yH298-H2O2-treated-facs-pool1,treated,yH298,1,4,1828,2188.1838074398247
GWK60_A00605,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00605,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00605,yH298-parent-pool2,parent,yH298,2,1,2013,496.7709885742673
GWK60_A00605,yH299-H2O2-treated-facs-pool3,treated,yH299,3,1,2012,497.01789264413515
GWK60_A00605,yH299-H2O2-treated-facs-pool4,treated,yH299,4,1,2244,445.63279857397504
GWK60_A00605,yH299-parent-pool3,parent,yH299,3,1,2117,472.36655644780353
GWK60_A00605,yH299-parent-pool4,parent,yH299,4,1,1572,636.1323155216286
GWK60_A00627,yH298-H2O2-treated-facs-pool1,treated,yH298,1,1,1828,547.0459518599562
GWK60_A00627,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00627,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00627,yH298-parent-pool2,parent,yH298,2,1,2013,496.7709885742673
GWK60_A00627,yH299-H2O2-treated-facs-pool3,treated,yH299,3,1,2012,497.01789264413515
GWK60_A00627,yH299-H2O2-treated-facs-pool4,treated,yH299,4,2,2244,891.2655971479501
GWK60_A00627,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00627,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00649,yH298-H2O2-treated-facs-pool1,treated,yH298,1,3,1828,1641.1378555798688
GWK60_A00649,yH298-H2O2-treated-facs-pool2,treated,yH298,2,11,2101,5235.602094240838
GWK60_A00649,yH298-parent-pool1,parent,yH298,1,9,2000,4500
GWK60_A00649,yH298-parent-pool2,parent,yH298,2,8,2013,3974.167908594138
GWK60_A00649,yH299-H2O2-treated-facs-pool3,treated,yH299,3,9,2012,4473.161033797217
GWK60_A00649,yH299-H2O2-treated-facs-pool4,treated,yH299,4,7,2244,3119.4295900178254
GWK60_A00649,yH299-parent-pool3,parent,yH299,3,11,2117,5196.032120925838
GWK60_A00649,yH299-parent-pool4,parent,yH299,4,3,1572,1908.3969465648854
GWK60_A00671,yH298-H2O2-treated-facs-pool1,treated,yH298,1,5,1828,2735.229759299781
GWK60_A00671,yH298-H2O2-treated-facs-pool2,treated,yH298,2,12,2101,5711.565920990005
GWK60_A00671,yH298-parent-pool1,parent,yH298,1,9,2000,4500
GWK60_A00671,yH298-parent-pool2,parent,yH298,2,6,2013,2980.625931445604
GWK60_A00671,yH299-H2O2-treated-facs-pool3,treated,yH299,3,15,2012,7455.268389662027
GWK60_A00671,yH299-H2O2-treated-facs-pool4,treated,yH299,4,10,2244,4456.327985739751
GWK60_A00671,yH299-parent-pool3,parent,yH299,3,9,2117,4251.299008030231
GWK60_A00671,yH299-parent-pool4,parent,yH299,4,8,1572,5089.058524173029
GWK60_A00693,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00693,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00693,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00693,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00693,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00693,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00693,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00693,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00715,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00715,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00715,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00715,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00715,yH299-H2O2-treated-facs-pool3,treated,yH299,3,1,2012,497.01789264413515
GWK60_A00715,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00715,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00715,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00737,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00737,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00737,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00737,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00737,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00737,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00737,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00737,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00759,yH298-H2O2-treated-facs-pool1,treated,yH298,1,1,1828,547.0459518599562
GWK60_A00759,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00759,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00759,yH298-parent-pool2,parent,yH298,2,2,2013,993.5419771485346
GWK60_A00759,yH299-H2O2-treated-facs-pool3,treated,yH299,3,2,2012,994.0357852882703
GWK60_A00759,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00759,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00759,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00781,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00781,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00781,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00781,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00781,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00781,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00781,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00781,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00803,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00803,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00803,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00803,yH298-parent-pool2,parent,yH298,2,1,2013,496.7709885742673
GWK60_A00803,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00803,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00803,yH299-parent-pool3,parent,yH299,3,1,2117,472.36655644780353
GWK60_A00803,yH299-parent-pool4,parent,yH299,4,4,1572,2544.5292620865143
GWK60_A00825,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00825,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00825,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00825,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00825,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00825,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00825,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00825,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00847,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00847,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00847,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00847,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00847,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00847,yH299-H2O2-treated-facs-pool4,treated,yH299,4,1,2244,445.63279857397504
GWK60_A00847,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00847,yH299-parent-pool4,parent,yH299,4,2,1572,1272.2646310432572
GWK60_A00869,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
