Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048240.1-119,21,764
CP048240.1-120,34,458
CP048240.1-121,8,1111
CP048240.1-122,17,876
CP048240.1-123,18,848
CP048240.1-124,19,813
CP048240.1-125,13,983
CP048240.1-126,43,336
CP048240.1-127,52,243
CP048240.1-128,24,670
CP048240.1-129,39,392
CP048240.1-130,9,1081
CP048241.1-0,4,1186
CP048241.1-1,4,1187
CP048241.1-2,25,645
CP048241.1-3,25,646
CP048241.1-4,34,459
CP048241.1-5,23,697
CP048241.1-6,24,671
CP048241.1-7,46,302
CP048241.1-8,2,1226
CP048241.1-9,49,274
CP048241.1-10,17,877
CP048241.1-11,65,160
CP048241.1-12,10,1057
CP048241.1-13,7,1131
CP048241.1-14,20,786
CP048241.1-15,24,672
CP048241.1-16,13,984
CP048241.1-17,13,985
CP048241.1-18,52,244
CP048241.1-19,4,1188
CP048241.1-20,4,1189
CP048241.1-21,11,1039
CP048241.1-22,61,185
CP048241.1-23,12,1013
CP048241.1-24,6,1147
CP048241.1-25,7,1132
CP048241.1-26,6,1148
CP048241.1-27,23,698
CP048241.1-28,12,1014
CP048241.1-29,26,615
CP048241.1-30,6,1149
CP048241.1-31,4,1190
CP048241.1-32,5,1169
CP048241.1-33,29,544
CP048241.1-34,12,1015
CP048241.1-35,61,186
CP048241.1-36,25,647
CP048241.1-37,31,510
CP048241.1-38,39,393
CP048241.1-39,21,765
CP048241.1-40,38,399
CP048241.1-41,4,1191
CP048241.1-42,18,849
CP048241.1-43,12,1016
CP048241.1-44,28,572
CP048241.1-45,35,447
CP048241.1-46,31,511
CP048241.1-47,35,448
CP048241.1-48,46,303
CP048241.1-49,40,377
CP048241.1-50,43,337
CP048241.1-51,17,878
CP048241.1-52,10,1058
CP048241.1-53,4,1192
CP048241.1-54,43,338
CP048241.1-55,16,909
CP048241.1-56,20,787
CP048241.1-57,25,648
CP048241.1-58,23,699
CP048241.1-59,13,986
CP048241.1-60,13,987
CP048241.1-61,40,378
CP048241.1-62,21,766
CP048241.1-63,17,879
CP048241.1-64,23,700
CP048241.1-65,24,673
CP048241.1-66,42,351
CP048241.1-67,31,512
CP048241.1-68,43,339
CP048241.1-69,48,288
CP048241.1-70,10,1059
CP048241.1-71,9,1082
CP048241.1-72,18,850
CP048241.1-73,9,1083
CP048241.1-74,26,616
CP048241.1-75,23,701
CP048241.1-76,32,496
CP048241.1-77,12,1017
CP048241.1-78,49,275
CP048241.1-79,53,233
CP048241.1-80,4,1193
CP048241.1-81,20,788
CP048241.1-82,12,1018
CP048241.1-83,33,474
CP048241.1-84,26,617
CP048241.1-85,41,365
CP048241.1-86,33,475
CP048241.1-87,14,955
CP048241.1-88,26,618
CP048241.1-89,47,295
CP048241.1-90,27,593
CP048241.1-91,67,152
CP048241.1-92,76,114
CP048241.1-93,36,421
CP048241.1-94,42,352
CP048241.1-95,22,736
CP048241.1-96,6,1150
CP048241.1-97,19,814
CP048241.1-98,78,107
CP048241.1-99,18,851
CP048241.1-100,31,513
CP048241.1-101,19,815
CP048241.1-102,38,400
CP048241.1-103,49,276
CP048241.1-104,10,1060
CP048241.1-105,19,816
CP048241.1-106,24,674
CP048241.1-107,20,789
CP048241.1-108,26,619
CP048241.1-109,12,1019
